# A complicated example, all of the data comes from AHIN's associated interaction records. For the purpose of writing the paper, all data IDs have been simplified.
# recipientId initiatorId times
80 19 2
10 80 1
10 29 1
10 36 2
36 10 2
70 36 3
70 28 2
26 8 2
8 26 1
6 8 5
8 6 4
82 6 1
82 37 2
37 28 2
28 37 2
6 1 5
1 6 6
7 1 2
1 7 4
16 7 3
7 16 1
18 16 3
16 18 2
27 1 3
39 27 2
27 39 1
41 27 3
27 41 1
22 27 4
22 2 8
2 22 3
2 3 10
3 2 9
9 2 4
2 9 2
38 9 4
9 38 2
83 38 4
60 38 3
61 9 4
71 61 2
51 2 4
12 2 4
4 2 8
2 4 3
4 5 4
5 4 3
13 4 3
4 13 2
50 12 4
12 50 1
30 2 5
2 30 2
17 51 2
51 17 3
81 61 2
81 52 3
81 72 2
72 81 1
72 62 3
62 72 2
72 66 1
66 62 2
52 40 3
40 52 1
40 11 5
11 40 2
53 50 3
50 53 5
68 53 3
53 68 2
76 68 2
68 76 1
76 67 2
67 48 3
76 64 2
78 64 3
78 32 3
78 51 3
32 78 1
32 34 4
78 34 5
33 34 6
34 33 4
57 34 9
34 57 3
35 34 7
34 35 6
44 35 3
44 34 2
44 23 3
23 44 2
54 44 3
44 54 1
54 24 3
23 54 1
85 54 2
85 31 1
77 54 2
77 31 3
77 25 2
25 34 5
25 34 2
14 25 2
25 14 3
79 31 2
31 79 2
79 58 2
58 79 1
79 15 3
75 15 2
46 15 4
15 46 3
74 46 2
74 15 4
15 43 2
43 15 4
43 14 3
69 14 2
69 34 3
56 14 3
84 56 2
14 56 1
69 49 3
49 69 2
65 49 2
65 20 5
21 20 7
20 21 5
55 21 5
21 55 3
55 48 2
72 34 4
34 72 5
2 34 4
34 2 5
17 31 4
